layer,order_k,subset_mask,score_mean,critic_seed_sd,n_critic_seeds
4,1,1,0.8692195812861124,0.01694755157166558,3
4,1,2,1.1632653408580358,0.0516853114738213,3
4,2,3,0.46723873251014286,0.21103489511969425,3
4,1,4,0.99417644739151,0.08847488921760101,3
4,2,5,0.6275346030791601,0.030315661211656464,3
4,2,6,0.9546444267034531,0.02642825979993199,3
4,3,7,0.45652617348565,0.12407582255566117,3
4,1,8,1.0923104915353987,0.029115485430847785,3
4,2,9,0.7596390148003896,0.10028432985733521,3
4,2,10,0.9797302269273335,0.11487936357062711,3
4,3,11,0.00783020071685315,0.3096115894251453,3
4,2,12,0.9912700851758321,0.027715595719028725,3
4,3,13,0.6550335884094238,0.09095819042267622,3
4,3,14,1.0094363623195224,0.04616088461239937,3
4,4,15,0.6065619265039762,0.011241271760348217,3
5,1,1,0.8119742704762354,0.07452743777266699,3
5,1,2,1.1902831329239738,0.08173234831840606,3
5,2,3,0.5177545183234744,0.32250882380970014,3
5,1,4,0.7601461675431992,0.5070086566763844,3
5,2,5,0.660287426577674,0.025200881207142683,3
5,2,6,0.9272729108730952,0.02847984161066944,3
5,3,7,0.4929987357722389,0.22788527050175442,3
5,1,8,1.0669843488269384,0.07914480155316693,3
5,2,9,0.7932009961869982,0.10223920086551094,3
5,2,10,0.9787821620702742,0.10544824438719837,3
5,3,11,0.2573399775558048,0.2403093065033204,3
5,2,12,0.9681053227848477,0.1301616423242282,3
5,3,13,0.6922661314407984,0.041408399980820854,3
5,3,14,0.9882876641220517,0.08365743533639274,3
5,4,15,0.41503554913732743,0.1966661180672904,3
6,1,1,0.8351368241839938,0.05931868812475763,3
6,1,2,1.1509938571188185,0.04183937802497584,3
6,2,3,0.6132626036802927,0.1588492230940028,3
6,1,4,0.9673544102244906,0.03301991884356076,3
6,2,5,0.6997509731186761,0.020312536937320616,3
6,2,6,0.9828837149673039,0.05824265452543417,3
6,3,7,0.6125168336762322,0.05751824518428433,3
6,1,8,1.1071471373240154,0.06252523514904149,3
6,2,9,0.845111714469062,0.02059320213926701,3
6,2,10,1.0692303892638948,0.03584554330468204,3
6,3,11,0.4506458557314343,0.08445199028273877,3
6,2,12,1.0497849550512102,0.06434455940331146,3
6,3,13,0.7041686326265335,0.09029688344852127,3
6,3,14,1.067938044667244,0.026603536328933083,3
6,4,15,0.6004091285996966,0.012633991577540781,3
7,1,1,0.8859458234575058,0.09479979615133619,3
7,1,2,1.2349963982899983,0.035825455585302576,3
7,2,3,0.6010096437401242,0.3266171314126745,3
7,1,4,0.9994308683607313,0.1289656698967141,3
7,2,5,0.7022172692749235,0.07912454830453346,3
7,2,6,1.0230243868298,0.02034363528458679,3
7,3,7,0.39235929482513004,0.21810823150864703,3
7,1,8,1.07590565416548,0.033063837075842754,3
7,2,9,0.8344090531269709,0.060787458609055024,3
7,2,10,0.977606667412652,0.15914575761978647,3
7,3,11,0.16299148897329965,0.33676161707848923,3
7,2,12,1.0211787621180217,0.06773003053555599,3
7,3,13,0.6934193968772888,0.05904944830816516,3
7,3,14,1.0273558232519362,0.05432498258826064,3
7,4,15,0.59098781645298,0.03316112606645077,3
8,1,1,0.8121200137668185,0.12607752288190677,3
8,1,2,1.2255802717473772,0.04881288652692159,3
8,2,3,0.369423046708107,0.17714844437198102,3
8,1,4,0.6099352207448748,0.7205310190225362,3
8,2,5,0.755444809794426,0.05228617809477219,3
8,2,6,1.0628840277592342,0.052193224652470345,3
8,3,7,0.6130154811673695,0.15505078294200586,3
8,1,8,1.0899686680899725,0.015328794803608041,3
8,2,9,0.8604700830247668,0.0685810979515218,3
8,2,10,0.9558789680401484,0.17263853092864873,3
8,3,11,0.309485734336906,0.24306420768046968,3
